latitude,longitude,timestamp,magnitude
46.8541667,-121.7571667,7/28/2016 16:54,0.74
46.8543333,-121.7583333,7/28/2016 16:54,0.37
48.3755,-116.5223333,7/28/2016 16:59,1.96
38.8181667,-122.8053333,7/28/2016 17:01,0.26
35.682,-121.1278333,7/28/2016 17:01,0.78
56.4738,-158.267,7/28/2016 17:06,1.5
51.6145,-177.1008,7/28/2016 17:08,1.1
18.8325,-64.3639,7/28/2016 17:11,2.4
51.6521,-178.0728,7/28/2016 17:23,1.5
33.3928333,-116.3825,7/28/2016 17:26,0.6
33.3796667,-116.8385,7/28/2016 17:35,1.16
-6.5073,153.3722,7/28/2016 17:36,4.4
63.2403,-151.3192,7/28/2016 17:40,1.8
52.8035,-166.8364,7/28/2016 17:43,1.6
17.9785,-67.1771,7/28/2016 17:48,1.8
44.8262,149.0556,7/28/2016 17:55,4.9
52.5608,-168.3342,7/28/2016 17:57,1.8
47.4456667,-123.1155,7/28/2016 17:58,2.28
37.5761667,-118.8646667,7/28/2016 18:05,1.2
52.8506,-166.8466,7/28/2016 18:33,2.9
38.8071671,-122.81633,7/28/2016 18:37,0.88
33.001,-117.7703333,7/28/2016 18:47,2.75
38.1605,72.8734,7/28/2016 18:51,4.4
33.639,-117.3435,7/28/2016 18:59,0.91
62.7133,-152.2003,7/28/2016 19:03,1.4
38.2719,-118.7506,7/28/2016 19:04,0.7
19.4065,-155.6343333,7/28/2016 19:06,0.7
64.9915,-147.3396,7/28/2016 19:07,1.4
52.8165,-166.8265,7/28/2016 19:13,1.9
35.6815,-121.1256667,7/28/2016 19:19,0.79
19.434166,-155.4646606,7/28/2016 19:23,1.94
33.9425,-116.324,7/28/2016 19:23,0.91
33.9478333,-116.3243333,7/28/2016 19:23,1.07
67.2493,-157.7773,7/28/2016 19:28,1.6
37.4701667,-118.8436667,7/28/2016 19:29,1.56
33.4308333,-116.4273333,7/28/2016 19:29,0.79
44.6766667,-110.041,7/28/2016 19:31,1.7
44.6711667,-110.0411667,7/28/2016 19:31,1.51
37.5771667,-118.8956667,7/28/2016 19:33,0.12
37.5703333,-118.8605,7/28/2016 19:35,0.53
33.9993333,-116.4101667,7/28/2016 19:43,1.06
39.4856667,-111.7176667,7/28/2016 19:43,1.87
33.5381667,-116.6946667,7/28/2016 19:46,0.99
